,createdAt,territories,departement
3017,2021-06,['95'],95
3018,2021-06,['95'],95
3019,2021-06,['95'],95
3020,2021-06,['95'],95
3021,2021-06,['95'],95
3022,2021-06,['95'],95
3023,2021-06,['95'],95
3024,2021-06,['95'],95
3025,2021-06,['92'],92
3026,2021-06,['95'],95
3027,2021-06,['95'],95
3028,2021-06,['95'],95
3029,2021-06,['95'],95
3030,2021-06,['95'],95
3031,2021-06,['95'],95
3032,2021-06,['95'],95
3033,2021-06,['95'],95
3034,2021-06,['95'],95
3035,2021-06,['95'],95
3036,2021-06,['95'],95
3037,2021-06,['95'],95
3038,2021-06,['95'],95
3039,2021-06,['95'],95
3040,2021-06,['95'],95
3041,2021-06,['95'],95
3042,2021-06,['95'],95
3043,2021-06,['95'],95
3044,2021-06,['95'],95
3045,2021-06,['95'],95
3046,2021-06,['95'],95
3047,2021-06,['95'],95
3048,2021-06,['95'],95
3049,2021-06,['95'],95
3050,2021-06,['95'],95
3051,2021-06,['95'],95
3052,2021-06,['95'],95
3053,2021-06,['95'],95
3054,2021-06,['95'],95
3055,2021-06,['95'],95
3056,2021-06,['95'],95
3057,2021-06,['33'],33
3058,2021-06,['95'],95
3059,2021-06,['95'],95
3060,2021-06,['95'],95
3061,2021-06,['95'],95
3062,2021-06,['95'],95
3063,2021-06,['95'],95
3064,2021-06,['95'],95
3065,2021-06,['95'],95
3066,2021-06,['95'],95
3067,2021-06,['95'],95
3068,2021-06,['95'],95
3069,2021-06,['95'],95
3070,2021-06,['95'],95
3071,2021-06,['95'],95
3072,2021-06,['95'],95
3073,2021-06,['95'],95
3074,2021-06,['95'],95
3075,2021-06,['95'],95
3076,2021-06,['95'],95
3077,2021-06,['95'],95
3078,2021-06,['95'],95
3079,2021-06,['95'],95
3080,2021-06,['95'],95
3081,2021-06,['94'],94
3082,2021-06,['95'],95
3083,2021-06,['95'],95
3084,2021-06,['95'],95
3085,2021-06,['95'],95
3086,2021-06,['95'],95
3087,2021-06,['95'],95
3088,2021-06,['95'],95
3089,2021-06,['95'],95
3090,2021-06,['95'],95
3091,2021-06,['95'],95
3092,2021-06,['95'],95
3093,2021-06,['95'],95
3094,2021-06,['95'],95
3095,2021-06,['95'],95
3096,2021-06,['95'],95
3097,2021-06,['95'],95
3098,2021-06,['95'],95
3099,2021-06,['95'],95
3100,2021-06,['95'],95
3101,2021-06,['95'],95
