,departement,statut,Nb_services,territory
725,Paris,1,1,75
726,Paris,1,1,75
727,Paris,1,1,75
728,Paris,1,1,75
729,Paris,1,1,75
730,Paris,1,1,75
731,Paris,1,1,75
732,Paris,1,1,75
733,Paris,1,1,75
734,Paris,1,1,75
735,Paris,1,1,75
736,Paris,1,1,75
737,Paris,1,1,75
738,Paris,1,1,75
739,Paris,1,1,75
740,Paris,1,1,75
741,Paris,1,1,75
742,Paris,1,1,75
743,Paris,1,1,75
744,Paris,1,1,75
745,Paris,1,1,75
746,Paris,1,1,75
747,Paris,1,1,75
748,Paris,1,1,75
749,Paris,1,1,75
750,Paris,1,1,75
751,Paris,1,1,75
752,Paris,1,1,75
753,Paris,1,1,75
754,Paris,1,1,75
755,Paris,1,1,75
756,Paris,1,1,75
757,Paris,1,1,75
758,Paris,1,1,75
759,Paris,1,1,75
760,Paris,1,1,75
761,Paris,1,1,75
762,Paris,1,1,75
763,Paris,1,1,75
764,Paris,1,1,75
765,Paris,1,1,75
766,Paris,1,1,75
767,Paris,1,1,75
768,Paris,1,1,75
769,Paris,1,1,75
770,Paris,1,1,75
771,Paris,1,1,75
772,Paris,1,1,75
773,Paris,1,1,75
774,Paris,1,1,75
775,Paris,1,1,75
776,Paris,1,1,75
777,Paris,1,1,75
778,Paris,1,1,75
779,Paris,1,1,75
780,Paris,1,1,75
781,Paris,1,1,75
782,Paris,1,1,75
783,Paris,1,1,75
784,Paris,1,1,75
785,Paris,1,1,75
786,Paris,1,1,75
787,Paris,1,1,75
788,Paris,1,1,75
789,Paris,1,1,75
790,Paris,1,1,75
791,Paris,1,1,75
792,Paris,1,1,75
793,Paris,1,1,75
794,Paris,1,1,75
795,Paris,1,1,75
796,Paris,1,1,75
797,Paris,1,1,75
798,Paris,1,1,75
799,Paris,1,1,75
800,Paris,1,1,75
801,Paris,1,1,75
802,Paris,1,1,75
803,Paris,1,1,75
804,Paris,1,1,75
805,Paris,1,1,75
806,Paris,1,1,75
807,Paris,1,1,75
808,Paris,1,1,75
809,Paris,1,1,75
810,Paris,1,1,75
811,Paris,1,1,75
812,Paris,1,1,75
813,Paris,1,1,75
814,Paris,1,1,75
815,Paris,1,1,75
816,Paris,1,1,75
817,Paris,1,1,75
818,Paris,1,1,75
819,Paris,1,1,75
820,Paris,1,1,75
821,Paris,1,1,75
822,Paris,1,1,75
823,Paris,1,1,75
824,Paris,1,1,75
825,Paris,1,1,75
826,Paris,1,1,75
827,Paris,1,1,75
828,Paris,1,1,75
829,Paris,1,1,75
830,Paris,1,1,75
831,Paris,1,1,75
832,Paris,1,1,75
833,Paris,1,1,75
834,Paris,1,1,75
835,Paris,1,1,75
836,Paris,1,1,75
837,Paris,1,1,75
838,Paris,1,1,75
839,Paris,1,1,75
840,Paris,1,1,75
841,Paris,1,1,75
842,Paris,1,1,75
843,Paris,1,1,75
844,Paris,1,1,75
845,Paris,1,7,75
846,Paris,1,5,75
847,Paris,1,1,75
848,Paris,1,2,75
849,Paris,1,3,75
850,Paris,1,1,75
851,Paris,1,5,75
852,Paris,1,4,75
853,Paris,1,3,75
854,Paris,1,2,75
855,Paris,1,11,75
856,Paris,1,11,75
857,Paris,1,9,75
858,Paris,1,3,75
859,Paris,1,1,75
860,Paris,1,1,75
861,Paris,1,8,75
862,Paris,1,1,75
863,Paris,1,1,75
864,Paris,1,1,75
865,Paris,1,1,75
866,Paris,1,1,75
867,Paris,1,1,75
868,Paris,1,1,75
869,Paris,1,1,75
870,Paris,1,1,75
871,Paris,1,1,75
872,Paris,1,1,75
873,Paris,1,1,75
874,Paris,1,1,75
875,Paris,1,1,75
876,Paris,1,1,75
877,Paris,1,1,75
878,Paris,1,1,75
879,Paris,1,1,75
880,Paris,1,1,75
881,Paris,1,1,75
882,Paris,1,1,75
883,Paris,1,1,75
884,Paris,1,1,75
885,Paris,1,1,75
886,Paris,1,1,75
887,Paris,1,1,75
888,Paris,1,1,75
889,Paris,1,1,75
890,Paris,1,1,75
891,Paris,1,1,75
892,Paris,1,1,75
893,Paris,1,1,75
894,Paris,1,1,75
895,Paris,1,1,75
