,createdAt,territory,COUNT
2595,2021-01,75,1
2596,2021-02,75,0
2597,2021-02,75,1
2598,2021-02,92,0
2599,2021-02,92,1
2600,2021-02,92,1
2601,2021-02,92,0
2602,2021-02,92,0
2603,2021-02,92,0
2604,2021-02,92,0
2605,2021-02,92,1
2606,2021-02,92,0
2607,2021-02,92,0
2608,2021-02,92,0
2609,2021-02,92,2
2610,2021-02,92,0
2611,2021-02,92,0
2612,2021-02,92,0
2613,2021-02,92,0
2614,2021-02,92,0
2615,2021-02,75,0
2616,2021-02,92,0
2617,2021-02,92,1
2618,2021-02,92,0
2619,2021-02,92,0
2620,2021-02,92,0
2621,2021-02,92,0
2622,2021-02,92,0
2623,2021-02,00,0
2624,2021-02,92,0
2625,2021-02,92,1
2626,2021-02,92,0
2627,2021-02,92,0
2628,2021-02,95,1
2629,2021-02,67,1
2630,2021-02,92,1
2631,2021-02,67,1
2632,2021-02,06,7
2633,2021-02,67,1
2634,2021-02,75,0
2635,2021-02,75,0
2636,2021-02,92,1
2637,2021-02,92,0
2638,2021-02,92,1
2639,2021-02,95,0
2640,2021-02,95,7
2641,2021-02,95,1
2642,2021-02,95,2
2643,2021-02,95,1
2644,2021-02,78,0
2645,2021-02,78,1
2646,2021-02,78,1
2647,2021-02,78,0
2648,2021-02,78,0
2649,2021-02,78,0
2650,2021-02,78,0
2651,2021-02,78,0
2652,2021-02,78,0
2653,2021-02,78,0
2654,2021-02,75,1
2655,2021-02,78,0
2656,2021-02,78,0
2657,2021-02,78,1
2658,2021-02,78,0
2659,2021-02,78,0
2660,2021-02,78,0
2661,2021-02,78,0
2662,2021-02,78,0
2663,2021-02,78,0
2664,2021-02,78,0
2665,2021-02,78,1
2666,2021-02,78,0
2667,2021-02,92,1
2668,2021-02,06,2
2669,2021-02,92,0
2670,2021-02,92,0
2671,2021-02,92,0
2672,2021-02,94,0
2673,2021-02,75,1
2674,2021-02,94,0
2675,2021-02,75,1
2676,2021-02,94,0
2677,2021-02,92,0
2678,2021-02,94,1
2679,2021-02,67,1
2680,2021-02,94,2
2681,2021-02,92,0
2682,2021-02,75,3
2683,2021-02,92,1
2684,2021-02,94,0
2685,2021-02,67,0
2686,2021-02,92,1
2687,2021-02,95,1
2688,2021-02,93,1
2689,2021-02,92,1
2690,2021-02,94,0
2691,2021-02,94,0
2692,2021-02,94,0
2693,2021-02,94,0
2694,2021-02,94,0
2695,2021-02,94,0
2696,2021-02,67,1
2697,2021-02,67,1
2698,2021-02,94,1
2699,2021-02,94,1
2700,2021-02,75,1
2701,2021-02,06,0
2702,2021-02,78,0
2703,2021-02,78,0
2704,2021-02,78,0
2705,2021-02,67,1
2706,2021-02,92,1
2707,2021-02,34,0
2708,2021-02,92,1
2709,2021-02,92,1
2710,2021-02,92,1
2711,2021-02,92,1
2712,2021-02,95,1
2713,2021-02,92,0
2714,2021-02,94,0
2715,2021-02,94,0
2716,2021-02,94,1
2717,2021-02,94,0
2718,2021-02,94,0
2719,2021-02,94,0
2720,2021-02,94,0
2721,2021-02,94,1
2722,2021-02,33,1
2723,2021-02,33,0
2724,2021-03,94,1
2725,2021-03,92,2
2726,2021-03,92,1
2727,2021-03,93,0
2728,2021-03,67,2
2729,2021-03,93,1
2730,2021-03,94,2
2731,2021-03,93,1
2732,2021-03,28,2
2733,2021-03,93,1
2734,2021-03,93,0
2735,2021-03,92,0
2736,2021-03,95,1
2737,2021-03,95,2
2738,2021-03,78,1
2739,2021-03,78,2
2740,2021-03,92,1
2741,2021-03,78,1
2742,2021-03,67,1
2743,2021-03,93,0
2744,2021-03,92,0
2745,2021-03,92,1
2746,2021-03,75,1
2747,2021-03,44,1
2748,2021-03,94,1
2749,2021-03,92,0
2750,2021-03,13,1
2751,2021-03,75,0
2752,2021-03,75,0
2753,2021-03,75,0
2754,2021-03,75,0
2755,2021-03,75,0
2756,2021-03,75,0
2757,2021-03,75,0
2758,2021-03,75,0
2759,2021-03,75,0
2760,2021-03,94,1
2761,2021-03,95,0
2762,2021-03,95,0
2763,2021-03,95,0
2764,2021-03,95,0
2765,2021-03,95,0
2766,2021-03,95,0
2767,2021-03,95,1
2768,2021-03,95,0
2769,2021-03,95,0
2770,2021-03,95,0
2771,2021-03,95,0
2772,2021-03,95,0
2773,2021-03,95,0
2774,2021-03,95,0
2775,2021-03,95,0
2776,2021-03,95,0
2777,2021-03,95,0
2778,2021-03,95,0
2779,2021-03,95,0
2780,2021-03,95,0
2781,2021-03,06,1
2782,2021-03,78,1
2783,2021-03,92,1
2784,2021-03,94,0
2785,2021-03,67,1
2786,2021-03,94,0
2787,2021-03,93,1
2788,2021-03,92,0
2789,2021-03,94,0
2790,2021-03,78,1
2791,2021-03,95,0
2792,2021-03,93,0
2793,2021-03,93,1
2794,2021-03,95,0
2795,2021-03,67,1
2796,2021-03,95,0
2797,2021-03,93,1
2798,2021-03,67,1
2799,2021-03,93,0
2800,2021-03,78,1
2801,2021-03,44,0
2802,2021-03,93,0
2803,2021-03,92,0
2804,2021-04,33,0
2805,2021-04,67,0
2806,2021-04,94,1
2807,2021-04,67,1
2808,2021-04,92,1
2809,2021-04,92,1
2810,2021-04,77,3
2811,2021-04,67,1
2812,2021-04,95,2
2813,2021-04,95,1
2814,2021-04,95,3
2815,2021-04,95,2
2816,2021-04,95,2
2817,2021-04,94,1
2818,2021-04,78,1
2819,2021-04,78,0
2820,2021-04,93,3
2821,2021-04,06,4
2822,2021-04,06,2
2823,2021-04,36,3
2824,2021-04,78,1
2825,2021-04,78,0
2826,2021-04,75,1
2827,2021-04,92,0
2828,2021-04,92,0
2829,2021-04,974,1
2830,2021-04,93,0
2831,2021-04,93,1
2832,2021-04,78,0
2833,2021-04,93,0
2834,2021-04,93,1
2835,2021-04,33,1
2836,2021-04,93,1
2837,2021-04,67,1
2838,2021-04,75,0
2839,2021-04,75,0
2840,2021-04,75,1
2841,2021-04,67,1
2842,2021-04,06,0
2843,2021-04,93,1
2844,2021-04,93,0
2845,2021-04,93,0
2846,2021-04,67,2
2847,2021-04,44,0
2848,2021-04,06,1
2849,2021-04,93,0
2850,2021-04,06,1
2851,2021-04,78,0
