,monthly,lieu_id,territoire,check,status_PRO
12987,2020-12,6413,94,2020-126413,1
13009,2020-12,7976,78,2020-127976,1
13014,2020-12,6417,94,2020-126417,1
13026,2020-12,3098,92,2020-123098,1
13040,2020-12,10890,93,2020-1210890,1
13045,2020-12,10891,,2020-1210891,1
13050,2020-12,10892,75,2020-1210892,1
13055,2020-12,10893,91,2020-1210893,1
13060,2020-12,10894,92,2020-1210894,1
13064,2020-12,10895,93,2020-1210895,1
13069,2020-12,10896,94,2020-1210896,1
13073,2020-12,10897,94,2020-1210897,1
13130,2020-12,6698,78,2020-126698,1
13138,2020-12,8302,69,2020-128302,1
13140,2020-12,8251,69,2020-128251,1
13142,2020-12,2500,75,2020-122500,1
13152,2020-12,7144,44,2020-127144,1
13156,2020-12,5100,44,2020-125100,1
13165,2020-12,8271,69,2020-128271,1
13167,2020-12,8325,69,2020-128325,1
13170,2020-12,8266,69,2020-128266,1
13172,2020-12,8265,69,2020-128265,1
13174,2020-12,8190,69,2020-128190,1
13178,2020-12,8188,69,2020-128188,1
13181,2020-12,10884,78,2020-1210884,1
13185,2020-12,7393,78,2020-127393,1
13187,2020-12,3174,92,2020-123174,1
13203,2020-12,8313,69,2020-128313,1
13211,2020-12,37,75,2020-1237,1
13249,2020-12,8292,69,2020-128292,1
13253,2020-12,8189,69,2020-128189,1
13257,2020-12,8310,69,2020-128310,1
13260,2020-12,8186,69,2020-128186,1
13261,2020-12,8174,69,2020-128174,1
13263,2020-12,8187,69,2020-128187,1
13264,2020-12,8180,69,2020-128180,1
13265,2020-12,8178,69,2020-128178,1
13266,2020-12,8176,69,2020-128176,1
13267,2020-12,8280,69,2020-128280,1
13304,2020-12,8275,69,2020-128275,1
13513,2020-12,6819,94,2020-126819,1
13515,2020-12,6817,94,2020-126817,1
13559,2020-12,21,75,2020-1221,1
13614,2020-12,6565,44,2020-126565,1
13824,2020-12,7978,78,2020-127978,1
13825,2020-12,7979,78,2020-127979,1
13826,2020-12,7980,78,2020-127980,1
13829,2020-12,7981,78,2020-127981,1
13830,2020-12,7982,78,2020-127982,1
13832,2020-12,7983,78,2020-127983,1
13834,2020-12,7984,78,2020-127984,1
13836,2020-12,7977,78,2020-127977,1
13963,2020-12,3170,92,2020-123170,1
13969,2020-12,10930,92,2020-1210930,1
14049,2021-01,8850,67,2021-018850,1
14052,2021-01,8168,69,2021-018168,1
14053,2021-01,8196,69,2021-018196,1
14054,2021-01,8172,69,2021-018172,1
14055,2021-01,8308,69,2021-018308,1
14057,2021-01,8318,69,2021-018318,1
14058,2021-01,8234,69,2021-018234,1
14059,2021-01,2500,75,2021-012500,1
14073,2021-01,35,75,2021-0135,1
14075,2021-01,5900,78,2021-015900,1
14088,2021-01,9638,92,2021-019638,1
14090,2021-01,3444,92,2021-013444,1
14097,2021-01,8252,44,2021-018252,1
14101,2021-01,8253,44,2021-018253,1
14103,2021-01,8254,44,2021-018254,1
14106,2021-01,3862,75,2021-013862,1
14107,2021-01,6026,75,2021-016026,1
14108,2021-01,9010,78,2021-019010,1
14121,2021-01,9969,95,2021-019969,1
14123,2021-01,9011,78,2021-019011,1
14124,2021-01,9970,95,2021-019970,1
14141,2021-01,4896,75,2021-014896,1
14155,2021-01,7392,33,2021-017392,1
14158,2021-01,9968,91,2021-019968,1
14159,2021-01,9693,44,2021-019693,1
14161,2021-01,10818,75,2021-0110818,1
14186,2021-01,8056,67,2021-018056,1
14188,2021-01,2231,67,2021-012231,1
14191,2021-01,6428,44,2021-016428,1
14196,2021-01,2237,67,2021-012237,1
14201,2021-01,2235,67,2021-012235,1
14210,2021-01,2229,67,2021-012229,1
14215,2021-01,8057,67,2021-018057,1
14226,2021-01,11002,67,2021-0111002,1
14233,2021-01,11003,67,2021-0111003,1
14238,2021-01,2390,67,2021-012390,1
14245,2021-01,11004,67,2021-0111004,1
14259,2021-01,2287,67,2021-012287,1
14260,2021-01,2391,67,2021-012391,1
14262,2021-01,2240,67,2021-012240,1
14263,2021-01,892,75,2021-01892,1
14274,2021-01,5827,93,2021-015827,1
14276,2021-01,5826,93,2021-015826,1
14284,2021-01,5981,78,2021-015981,1
14289,2021-01,10877,78,2021-0110877,1
14291,2021-01,11005,78,2021-0111005,1
14299,2021-01,11006,78,2021-0111006,1
14303,2021-01,11007,78,2021-0111007,1
14314,2021-01,4448,94,2021-014448,1
14339,2021-01,6979,75,2021-016979,1
14341,2021-01,340,75,2021-01340,1
14356,2021-01,2227,67,2021-012227,1
14359,2021-01,9494,75,2021-019494,1
14454,2021-01,3624,92,2021-013624,1
14464,2021-01,11017,33,2021-0111017,1
14470,2021-01,2633,92,2021-012633,1
14529,2021-01,10128,75,2021-0110128,1
14553,2021-01,5731,33,2021-015731,1
14559,2021-01,4108,33,2021-014108,1
14560,2021-01,11032,,2021-0111032,1
14565,2021-01,3519,75,2021-013519,1
14577,2021-01,3098,92,2021-013098,1
14589,2021-01,3463,92,2021-013463,1
14592,2021-01,3337,92,2021-013337,1
14599,2021-01,11034,92,2021-0111034,1
14608,2021-01,2461,75,2021-012461,1
14610,2021-01,10706,75,2021-0110706,1
14617,2021-01,5719,75,2021-015719,1
14633,2021-01,6402,94,2021-016402,1
14634,2021-01,6415,94,2021-016415,1
14637,2021-01,6393,94,2021-016393,1
14648,2021-01,2507,75,2021-012507,1
14655,2021-01,8657,78,2021-018657,1
14832,2021-01,4449,94,2021-014449,1
14833,2021-01,4465,94,2021-014465,1
14943,2021-01,10703,75,2021-0110703,1
14955,2021-01,11075,75,2021-0111075,1
14959,2021-01,151,75,2021-01151,1
14977,2021-01,3082,92,2021-013082,1
14987,2021-01,2282,67,2021-012282,1
14998,2021-01,3081,92,2021-013081,1
14999,2021-01,2919,93,2021-012919,1
15019,2021-01,6749,67,2021-016749,1
15100,2021-01,8506,75,2021-018506,1
15119,2021-01,36,75,2021-0136,1
15129,2021-01,4476,94,2021-014476,1
15152,2021-01,8018,94,2021-018018,1
15188,2021-01,6653,92,2021-016653,1
15251,2021-01,11096,75,2021-0111096,1
15269,2021-01,2201,67,2021-012201,1
15317,2021-02,6766,75,2021-026766,1
15322,2021-02,11099,75,2021-0211099,1
15323,2021-02,11100,75,2021-0211100,1
15408,2021-02,2633,92,2021-022633,1
15446,2021-02,1234,75,2021-021234,1
15447,2021-02,52,75,2021-0252,1
15452,2021-02,29,75,2021-0229,1
15455,2021-02,5,75,2021-025,1
15456,2021-02,23,75,2021-0223,1
15457,2021-02,33,75,2021-0233,1
15458,2021-02,160,75,2021-02160,1
15464,2021-02,7229,44,2021-027229,1
15869,2021-02,11126,76,2021-0211126,1
15872,2021-02,11127,,2021-0211127,1
17110,2021-02,2201,67,2021-022201,1
17312,2021-02,2481,75,2021-022481,1
17424,2021-02,2496,75,2021-022496,1
17452,2021-02,6979,75,2021-026979,1
17537,2021-02,11125,93,2021-0211125,1
17570,2021-02,10155,92,2021-0210155,1
17690,2021-02,6749,67,2021-026749,1
17711,2021-02,6472,94,2021-026472,1
17721,2021-02,10162,92,2021-0210162,1
17731,2021-02,8127,33,2021-028127,1
17855,2021-02,7295,78,2021-027295,1
17858,2021-02,2603,92,2021-022603,1
17860,2021-02,2596,92,2021-022596,1
17879,2021-02,11054,92,2021-0211054,1
17988,2021-02,3337,92,2021-023337,1
17999,2021-02,10841,95,2021-0210841,1
18075,2021-02,9930,67,2021-029930,1
18086,2021-02,8506,75,2021-028506,1
18090,2021-02,10771,75,2021-0210771,1
18091,2021-02,8507,75,2021-028507,1
18117,2021-02,3685,75,2021-023685,1
18121,2021-02,43,75,2021-0243,1
18123,2021-02,3686,75,2021-023686,1
18124,2021-02,7106,75,2021-027106,1
18175,2021-02,11196,95,2021-0211196,1
18310,2021-02,10573,,2021-0210573,1
18394,2021-02,6565,44,2021-026565,1
18403,2021-02,892,75,2021-02892,1
18437,2021-02,11220,92,2021-0211220,1
18486,2021-02,6605,78,2021-026605,1
18533,2021-02,3413,93,2021-023413,1
18551,2021-02,8228,78,2021-028228,1
18665,2021-02,3016,93,2021-023016,1
18679,2021-02,5241,93,2021-025241,1
18682,2021-02,5243,93,2021-025243,1
18683,2021-02,3438,93,2021-023438,1
18686,2021-02,3437,93,2021-023437,1
18688,2021-02,3423,93,2021-023423,1
18689,2021-02,3424,93,2021-023424,1
18690,2021-02,3114,93,2021-023114,1
18691,2021-02,3426,93,2021-023426,1
18693,2021-02,3425,93,2021-023425,1
18698,2021-02,3428,93,2021-023428,1
18714,2021-02,3430,93,2021-023430,1
18720,2021-02,2848,93,2021-022848,1
18723,2021-02,3432,93,2021-023432,1
18726,2021-02,3421,93,2021-023421,1
18733,2021-02,3418,93,2021-023418,1
18752,2021-02,11231,75,2021-0211231,1
18759,2021-02,3436,93,2021-023436,1
18760,2021-02,3435,93,2021-023435,1
18767,2021-02,3417,93,2021-023417,1
18772,2021-02,2845,93,2021-022845,1
18776,2021-02,3074,93,2021-023074,1
18806,2021-02,1702,75,2021-021702,1
18815,2021-02,1703,75,2021-021703,1
18818,2021-02,10679,75,2021-0210679,1
18999,2021-02,4612,92,2021-024612,1
19175,2021-02,3964,92,2021-023964,1
19189,2021-02,47,75,2021-0247,1
19190,2021-02,2462,75,2021-022462,1
19243,2021-02,8884,75,2021-028884,1
19244,2021-02,8894,75,2021-028894,1
19467,2021-02,4970,44,2021-024970,1
19585,2021-02,2460,75,2021-022460,1
19605,2021-02,11284,92,2021-0211284,1
19606,2021-02,11286,92,2021-0211286,1
19611,2021-02,5470,33,2021-025470,1
19618,2021-02,11295,92,2021-0211295,1
19638,2021-02,11296,92,2021-0211296,1
19646,2021-02,11294,92,2021-0211294,1
19678,2021-02,0,75,2021-020,1
19680,2021-02,4,75,2021-024,1
19753,2021-02,11291,92,2021-0211291,1
19780,2021-02,11309,92,2021-0211309,1
19928,2021-02,11310,92,2021-0211310,1
19930,2021-02,11324,92,2021-0211324,1
19937,2021-02,11311,92,2021-0211311,1
19939,2021-02,11313,92,2021-0211313,1
19942,2021-02,11314,92,2021-0211314,1
19944,2021-02,11319,92,2021-0211319,1
19948,2021-02,11320,92,2021-0211320,1
19951,2021-02,6066,93,2021-026066,1
19955,2021-02,11321,92,2021-0211321,1
19961,2021-02,11339,92,2021-0211339,1
19965,2021-02,11334,92,2021-0211334,1
19966,2021-02,11333,92,2021-0211333,1
19967,2021-02,11332,92,2021-0211332,1
19971,2021-02,11331,92,2021-0211331,1
19975,2021-02,11330,92,2021-0211330,1
19980,2021-02,11328,92,2021-0211328,1
19981,2021-02,11327,92,2021-0211327,1
19984,2021-02,5159,93,2021-025159,1
20020,2021-02,11233,75,2021-0211233,1
20027,2021-02,11279,92,2021-0211279,1
20041,2021-02,9791,78,2021-029791,1
20052,2021-02,1938,33,2021-021938,1
20064,2021-02,1951,33,2021-021951,1
20083,2021-02,9790,78,2021-029790,1
20084,2021-02,10052,75,2021-0210052,1
20087,2021-02,6143,78,2021-026143,1
20091,2021-02,9797,78,2021-029797,1
20097,2021-02,11344,78,2021-0211344,1
20103,2021-02,11345,78,2021-0211345,1
20249,2021-02,5450,93,2021-025450,1
20251,2021-02,4819,33,2021-024819,1
20271,2021-02,8384,44,2021-028384,1
20302,2021-02,6419,33,2021-026419,1
20321,2021-02,3313,92,2021-023313,1
20394,2021-02,5001,78,2021-025001,1
20403,2021-02,11277,93,2021-0211277,1
20410,2021-02,2873,93,2021-022873,1
20443,2021-03,5902,78,2021-035902,1
20486,2021-03,11359,92,2021-0311359,1
20497,2021-03,5773,94,2021-035773,1
20512,2021-03,11361,,2021-0311361,1
20538,2021-03,11220,92,2021-0311220,1
20721,2021-03,121,75,2021-03121,1
20723,2021-03,2433,75,2021-032433,1
20805,2021-03,11298,95,2021-0311298,1
20838,2021-03,3428,93,2021-033428,1
20849,2021-03,10899,95,2021-0310899,1
20882,2021-03,7695,94,2021-037695,1
20905,2021-03,3811,33,2021-033811,1
21002,2021-03,11424,93,2021-0311424,1
21145,2021-03,6254,44,2021-036254,1
21163,2021-03,11233,75,2021-0311233,1
21186,2021-03,7254,75,2021-037254,1
21348,2021-03,6066,93,2021-036066,1
21504,2021-03,2507,75,2021-032507,1
21547,2021-03,3692,78,2021-033692,1
21571,2021-03,245,75,2021-03245,1
21573,2021-03,11461,78,2021-0311461,1
21623,2021-03,11462,95,2021-0311462,1
21627,2021-03,3750,75,2021-033750,1
21653,2021-03,11270,75,2021-0311270,1
21656,2021-03,3694,33,2021-033694,1
21658,2021-03,6693,78,2021-036693,1
21663,2021-03,7214,78,2021-037214,1
21668,2021-03,6684,78,2021-036684,1
21673,2021-03,6689,78,2021-036689,1
